,NI_16_2,HS_16_2,IR_13_1,HS_FA_2_2,BAD_14_2,BAD_8_1,NI_13_2,BAD_1_1,FOUM_17_2,TE_1_10_1_2,IR_4_2,NI_3_1,HS_7_1,IR_7_1,FOUM_8_2,NI_7_2,HS_3_1,BAD_3_1,BAD_18_1,IR_10_2,TE_21_30_1_1,NI_19_1,TE_FA_1_1,FOUM_14_2,FOUM_7_2,TE_11_20_1_2,HS_18_2,IR_17_1,TE_6_43_1,FOUM_3_1
VTX00132,1,0,0,0,197,271,110,258,0,176,0,0,0,0,0,37,0,60,131,0,15,0,562,75,19396,154,0,15,0,452
VTX00080,340,1699,603,2525,423,110,0,0,0,27,128,2211,455,904,3,6,132,0,21,514,65,737,0,6,0,68,2325,201,6961,527
VTX00181,108,785,1018,475,1,225,555,0,0,737,14,63,2144,107,1,2,76,1,0,2235,239,103,1,0,0,0,572,127,4426,0
VTX00167,0,1,0,0,11,392,0,0,0,3,0,0,0,0,490,406,0,1,0,0,55,0,61,73,9184,11,0,210,699,1244
VTX00410,2,0,0,0,636,1708,497,0,0,210,0,0,0,1318,477,1041,0,2473,2245,0,0,0,153,114,0,29,47,76,14,670
VTX00093,12,1511,269,255,203,1005,218,0,0,67,1728,278,437,181,1,140,6,77,851,72,18,9,87,610,0,726,379,58,384,147
VTX00101,371,30,789,0,46,1588,0,0,0,220,184,84,27,501,313,33,0,0,43,689,100,100,0,556,3085,0,0,114,588,162
VTX00026,0,27,10,0,980,43,0,0,0,2972,0,0,3,2,1,2,5,0,0,0,0,0,2946,11,0,0,8,186,0,59
VTX00215,151,810,358,193,301,731,0,1,0,236,1,490,445,1,3,38,58,130,662,165,469,259,49,56,0,2,432,54,800,162
VTX00096,1,397,228,322,69,264,1523,0,0,5,862,453,344,297,3,422,8,15,650,102,3,2,18,51,0,0,187,62,449,37
VTX00446,1,0,0,0,1036,213,82,487,0,533,0,0,0,0,0,270,1,898,0,0,16,0,467,32,0,150,1,7,8,1328
VTX00103,1440,16,127,0,289,1,354,0,0,27,0,832,0,0,0,0,113,0,0,0,77,506,0,18,0,0,6,65,0,561
VTX00063,1,0,0,0,295,20,493,0,0,145,0,0,0,0,0,152,0,120,0,0,33,0,638,110,0,89,0,332,734,835
VTX00255,0,0,0,55,337,235,13,0,0,0,0,0,129,45,0,0,0,2005,28,7,0,16,0,147,0,0,3,252,0,605
VTX00092,817,2,0,88,0,7,622,0,0,0,0,52,16,34,0,63,57,0,19,42,60,302,226,1,1,57,41,117,598,480
VTX00047,0,0,0,0,0,1,6,3410,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,232
VTX00070,0,0,20,463,330,581,0,1,0,0,106,0,15,269,0,0,0,0,479,15,0,0,0,446,0,0,242,18,0,473
VTX00111,74,883,293,719,0,0,381,0,0,0,0,10,22,0,2,0,29,0,6,1,2,18,0,0,0,0,127,0,841,1
VTX00204,0,0,0,0,265,892,556,0,0,102,0,0,0,0,0,431,0,660,0,0,244,0,95,0,0,55,0,0,0,27
VTX00039,317,35,0,21,99,9,0,0,0,73,0,10,162,0,610,95,164,1,138,9,14,0,19,351,0,0,73,44,846,68
VTX00253,0,0,0,0,391,122,1,1,0,0,3,0,0,9,0,0,0,0,2430,0,0,50,0,9,0,0,0,0,0,105
VTX00368,0,0,995,227,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,1702,0,0,0,0,0,0,73,0,0,0
VTX00166,1275,113,150,3,49,0,0,0,0,0,0,5,158,0,0,0,53,399,0,7,0,181,0,1,0,0,378,0,0,0
VTX00069,1,0,0,0,653,331,88,0,0,0,0,0,0,0,0,478,0,468,1,0,75,0,160,96,0,0,0,0,0,199
VTX00433,270,399,0,0,70,38,15,0,1,90,0,0,0,0,1,224,176,443,0,18,118,36,363,1,1,81,72,3,64,7
VTX00219,138,256,265,66,18,141,0,0,0,65,0,293,130,1,1,11,17,0,66,37,142,135,1,0,0,40,273,49,326,2
VTX00130,0,0,0,0,949,257,0,0,0,114,0,0,0,0,0,421,0,0,0,0,56,0,60,12,0,0,0,13,46,480
VTX00364,260,14,0,0,0,0,0,0,1,176,6,0,0,0,0,620,0,0,665,0,48,0,75,0,0,235,17,0,196,0
VTX00185,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,74,0,2150,0,0,0,0,42,0,6,0,0,0,3,6
VTX00343,695,0,0,366,1,1,5,0,0,0,0,3,5,476,0,0,0,0,0,6,0,389,0,1,0,0,37,19,6,0
VTX00360,0,3,0,1,234,232,0,0,0,0,430,2,0,94,1,0,0,49,225,2,2,4,0,165,0,1,2,0,9,447
VTX00238,0,0,0,0,0,206,0,0,0,0,10,0,0,0,0,0,0,0,1006,0,0,0,0,256,0,0,0,0,0,128
VTX00263,0,0,0,0,17,1,0,1144,0,370,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,28
VTX00131,0,0,0,0,0,1,0,0,1,154,0,0,0,0,0,0,0,0,0,0,344,0,14,0,0,368,0,0,585,2
VTX00420,1,0,0,0,124,0,190,0,0,0,115,0,0,0,0,1,0,0,927,0,0,0,0,0,0,0,0,16,0,0
VTX00322,12,2,3,1,0,299,44,0,0,121,303,6,0,0,0,110,0,409,4,1,0,0,0,5,0,0,3,0,2,42
VTX00270,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1021,0,0,0,0,34,0,0,0,0,0,70
VTX00004,0,0,0,103,0,0,0,0,0,0,270,11,14,7,0,0,0,5,97,0,0,0,0,393,0,0,255,0,7,0
VTX00041,0,0,0,0,180,97,40,0,0,83,0,0,0,1,0,0,31,253,34,5,0,0,0,0,0,19,0,49,75,161
VTX00193,0,0,1,0,0,0,869,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,106
VTX00209,12,387,0,0,0,2,0,0,0,9,0,0,0,0,1,228,38,2,16,45,16,0,21,0,0,194,19,0,13,0
VTX00121,200,0,0,0,10,123,0,0,0,92,0,0,0,0,0,30,0,260,0,0,37,4,85,2,0,94,11,3,27,0
VTX00280,293,85,0,10,0,0,0,0,0,4,29,115,0,21,0,0,0,0,0,276,0,20,0,15,0,0,10,0,0,0
VTX00281,1,0,0,0,101,185,172,0,0,102,0,0,0,6,0,0,0,143,0,0,6,0,133,14,0,0,0,0,0,0
VTX00384,2,46,0,0,165,105,23,0,0,0,0,26,0,0,0,100,8,249,11,31,0,0,3,29,0,5,0,0,48,0
VTX00202,268,0,0,0,223,42,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
VTX00406,62,6,227,0,1,0,0,0,0,0,0,0,15,208,0,0,0,0,0,132,0,0,0,25,0,0,0,66,0,0
VTX00222,0,0,0,0,0,248,138,0,0,65,2,0,0,0,0,0,0,271,0,0,0,0,12,0,0,0,0,0,0,0
VTX00024,126,7,50,109,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,5,0,0,297,60,0,0,34,0,13,0
VTX00361,0,81,27,225,24,0,0,0,0,0,0,140,9,40,0,0,1,0,0,3,0,5,0,6,0,0,26,0,123,7
VTX00203,58,0,4,0,0,278,0,0,0,0,5,0,2,110,0,5,0,0,0,27,0,0,40,2,0,0,0,11,1,120
VTX00227,0,0,0,364,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,29,0
VTX00027,0,0,0,0,0,0,6,63,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,1
VTX00318,0,0,0,19,57,43,10,0,0,1,0,1,33,19,0,2,0,217,17,2,0,4,0,39,0,0,0,30,2,124
VTX00064,1,0,0,0,222,286,0,0,0,0,0,0,0,0,0,23,0,62,0,0,0,0,14,0,0,0,0,0,0,0
VTX00051,0,0,0,0,0,1,47,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2
VTX00059,0,0,0,0,29,66,10,0,0,315,0,0,0,0,0,0,8,61,0,0,0,0,49,7,0,28,0,0,0,1
VTX00140,0,0,0,0,0,205,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00120,0,0,0,0,2,63,0,0,0,32,0,0,0,0,0,16,0,328,0,0,7,0,38,9,0,47,8,0,9,0
VTX00268,1,0,0,104,0,0,0,0,0,0,46,0,46,38,0,0,0,0,167,1,0,0,0,26,0,0,0,4,92,0
VTX00341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0
VTX00239,0,0,0,0,8,1,3,0,0,85,0,0,0,0,0,0,0,413,4,0,0,0,1,9,0,0,0,0,0,0
VTX00054,0,0,0,0,61,3,0,0,0,6,0,0,0,0,0,0,0,204,0,0,0,6,104,14,0,0,0,0,0,123
VTX00347,41,0,0,0,83,17,0,0,0,39,0,0,0,0,0,0,14,10,0,0,0,0,170,3,0,0,0,0,0,139
VTX00353,0,0,0,0,0,76,192,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,81
VTX00256,0,0,0,0,446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,0,1,0,0,0
VTX00424,0,0,0,0,0,0,431,37,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
VTX00082,1,29,0,367,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,5,1,0,0,0,0,0,6,1,45,1
VTX00419,0,0,0,0,0,33,132,0,0,11,0,0,0,0,0,0,0,43,12,0,0,0,0,46,0,14,0,0,26,100
VTX00112,0,0,0,0,404,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00076,0,126,0,84,0,0,18,0,0,0,0,6,84,0,1,21,0,0,3,34,0,0,0,0,0,0,2,0,28,0
VTX00359,0,0,318,1,2,0,0,0,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
VTX00124,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00125,0,0,0,0,0,97,18,0,0,48,70,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
VTX00057,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00418,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,24,52,16,0,0,145,6,8,0,62
VTX00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,3,0,0,0,0,41,0,0,25,0,0,0,0
VTX00077,0,0,0,0,1,2,3,0,0,2,291,0,0,0,0,18,0,6,1,0,1,0,4,0,0,1,0,0,0,0
VTX00085,0,0,0,0,69,11,8,0,0,1,3,0,0,0,0,1,0,4,125,0,0,0,9,0,0,76,0,0,15,2
VTX00397,0,0,0,3,0,23,0,0,0,1,0,0,0,0,0,11,10,0,0,64,42,0,0,0,0,0,161,0,0,0
VTX00175,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VTX00403,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,10,0,0
VTX00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,264,0,0,0,0,1,0,0,2,0,0,0,0
VTX00214,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,118,0,0,2,0,0,125,0
VTX00380,2,0,0,0,15,6,4,0,0,147,0,0,0,0,0,0,0,18,0,0,0,1,15,7,0,1,0,0,0,40
VTX00262,0,44,0,0,0,104,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0,0,3,0,0,0
VTX00090,0,0,0,0,0,0,0,0,0,0,104,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00269,0,98,0,33,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
VTX00312,0,4,0,0,0,1,6,0,0,12,0,0,1,1,0,32,10,0,118,5,3,1,0,0,0,1,3,0,0,0
VTX00028,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16
VTX00178,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00154,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,7,0,0,10,7,0,0,0
VTX00146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,1
VTX00276,0,0,0,0,0,50,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,26
VTX00137,57,0,1,0,0,24,0,0,0,8,0,0,0,2,0,1,1,3,0,0,30,0,4,0,0,0,4,0,4,0
VTX00212,0,0,0,0,2,23,25,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
VTX00367,0,0,98,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00398,0,7,0,0,12,12,0,0,0,0,0,12,0,4,0,0,0,0,0,2,0,3,0,4,0,0,4,0,51,10
VTX00356,0,0,0,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
VTX00186,0,31,17,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0
VTX00435,0,0,0,0,11,22,22,0,0,0,1,0,0,0,0,0,0,13,16,0,0,0,1,3,0,0,0,0,0,2
VTX00188,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00109,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2
VTX00444,27,0,0,0,1,0,0,0,16,0,0,1,8,0,1,0,1,0,0,8,1,1,2,2,1,0,2,1,4,0
VTX00206,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0
VTX00292,0,10,3,10,0,0,9,0,0,1,1,0,2,2,0,0,0,0,0,11,0,0,0,0,0,0,0,1,13,0
VTX00363,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00264,0,0,0,0,0,0,0,0,0,0,45,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00412,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0
VTX00174,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
VTX00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
VTX00454,1,0,4,0,0,6,1,0,0,8,1,0,1,3,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0
VTX00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0
VTX00005,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
VTX00278,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
VTX00437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
VTX00242,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
VTX00231,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00183,0,1,1,0,0,0,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
VTX00108,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,9,0,0,1,0,0,0,0,0,0,0,0,1,1,4
VTX00053,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,9,0,0,1,1
VTX00426,0,12,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
VTX00309,0,1,1,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0
VTX00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,4,0,0,2,0
VTX00153,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0
VTX00409,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00400,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9
VTX00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0
VTX00323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
VTX00342,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
VTX00249,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00061,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
VTX00376,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00328,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
VTX00213,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00389,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
VTX00177,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
VTX00305,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
VTX00349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
VTX00074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
VTX00327,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VTX00345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
VTX00001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00060,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VTX00366,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
VTX00293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
VTX00149,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VTX00315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
VTX00370,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00030,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00272,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00362,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
VTX00143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
